name;fuji-pro-160s-vsco-colorchecker
description;fitted LUT style from fuji-pro-160s-vsco-colorchecker.pfm
num_gray; 0
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
SAT1;55.606605529785156;51.385223388671875;35.341156005859375;61.565231323242188;51.799537658691406;34.893535614013672
SAT2;73.602287292480469;32.293350219726562;71.36865234375;78.151741027832031;18.750190734863281;70.898574829101562
SAT3;84.235145568847656;1.3886094093322754;83.613334655761719;87.993217468261719;-9.3035993576049805;81.462028503417969
SAT4;64.038787841796875;-53.360671997070312;27.551496505737305;76.358375549316406;-50.684928894042969;31.387317657470703
SAT5;61.593833923339844;-24.63334846496582;-32.950889587402344;78.467735290527344;-24.392604827880859;-17.64579963684082
SAT6;50.976104736328125;1.3580024242401123;-52.693832397460938;71.143333435058594;-8.5355339050292969;-27.410734176635742
SAT7;52.876678466796875;32.492519378662109;-29.957855224609375;67.21337890625;24.532199859619141;-18.669582366943359
SAT8;55.596923828125;51.314533233642578;0.34642219543457031;63.893775939941406;48.784671783447266;-2.0493626594543457
WBP1;80.397369384765625;0.85362792015075684;-0.24595260620117188;88.124237060546875;0.27132034301757812;-0.98378658294677734
WBP2;81.484153747558594;-1.2591183185577393;-1.0041117668151855;88.894439697265625;-1.1513233184814453;-1.271975040435791
WBP3;81.064437866210938;-2.4179220199584961;-2.4799227714538574;88.519744873046875;-1.3312697410583496;-2.0983695983886719
WBP4;81.004295349121094;-4.1266679763793945;-2.7037262916564941;88.942062377929688;-3.083348274230957;-1.9994139671325684
WBP5;81.439399719238281;-6.0774984359741211;-4.352116584777832;89.457626342773438;-3.4965276718139648;-2.3967742919921875
WBL1;80.351127624511719;4.6523213386535645;0.50985813140869141;87.585487365722656;2.4136006832122803;-0.2653956413269043
WBL2;80.885147094726562;4.2432546615600586;-0.11886358261108398;88.037918090820312;2.4837851524353027;-0.98936557769775391
WBL3;80.667259216308594;0.84277987480163574;-0.26006698608398438;88.155555725097656;0.29975175857543945;-1.039576530456543
WBL4;81.009445190429688;-1.2062489986419678;-2.6300787925720215;88.577217102050781;-0.93993544578552246;-2.0142912864685059
WBL5;80.922164916992188;-2.242356538772583;-5.7349443435668945;88.65924072265625;-1.7816722393035889;-3.4004092216491699
NEU1;11.204616546630859;1.5758798122406006;-1.784813404083252;12.359432220458984;14.473199844360352;9.4847650527954102
NEU2;13.767477035522461;1.8414855003356934;-3.0211150646209717;14.997203826904297;13.65789794921875;8.2772464752197266
NEU3;17.677093505859375;1.1302977800369263;-2.6536047458648682;20.509445190429688;10.70868968963623;6.3965978622436523
NEU4;20.885791778564453;0.32655894756317139;-1.2529551982879639;24.6373291015625;8.0299825668334961;7.2657051086425781
NEU5;74.761894226074219;0.060945749282836914;-0.017595291137695312;85.050300598144531;-0.83136558532714844;0.24045705795288086
NEU6;80.57513427734375;0.00041723251342773438;-0.00036954879760742188;88.126457214355469;-0.067651271820068359;-1.0645151138305664
NEU7;85.833824157714844;0.00038743019104003906;-0.00040531158447265625;91.218574523925781;0.20965933799743652;-0.99670886993408203
NEU8;90.161361694335938;0.081688165664672852;1.1182785034179688;93.458999633789062;0.26586651802062988;-0.97099542617797852
A1;35.274120330810547;15.050426483154297;18.244695663452148;44.782989501953125;20.97833251953125;31.122148513793945
B1;64.116943359375;33.919544219970703;67.21075439453125;71.051017761230469;22.775798797607422;71.740531921386719
C1;22.865447998046875;28.474554061889648;-59.258132934570312;29.445980072021484;32.434238433837891;-56.29449462890625
D1;88.630760192871094;-0.00083446502685546875;1.077115535736084;92.743019104003906;0.26506185531616211;-0.97304582595825195
A2;67.175765991210938;17.045228958129883;14.803134918212891;78.193840026855469;10.281205177307129;9.2335700988769531
B2;35.489334106445312;21.189510345458984;-55.313175201416016;49.782127380371094;16.955554962158203;-41.670944213867188
C2;53.286880493164062;-48.701374053955078;33.034236907958984;66.336311340332031;-54.751693725585938;50.975627899169922
D2;79.288742065429688;-0.0079572200775146484;0.014007091522216797;87.369285583496094;-0.66095590591430664;-0.029432773590087891
A3;46.924015045166016;-3.258824348449707;-27.421819686889648;65.233444213867188;-5.2839517593383789;-17.56596565246582
B3;53.583686828613281;48.143325805664062;23.869264602661133;60.896270751953125;48.388568878173828;21.141361236572266
C3;44.6253662109375;46.17181396484375;36.188720703125;50.353569030761719;55.772720336914062;47.192722320556641
D3;66.994682312011719;0.0014007091522216797;-0.0006198883056640625;79.806137084960938;-2.2782087326049805;1.3299703598022461
A4;39.291751861572266;-15.619098663330078;24.935949325561523;52.887382507324219;-24.054019927978516;44.022430419921875
B4;25.046302795410156;24.173870086669922;-20.191537857055664;33.079113006591797;37.380859375;-20.146638870239258
C4;80.629325866699219;0.63627958297729492;80.595489501953125;85.553428649902344;-9.9266166687011719;80.952484130859375
D4;48.547225952148438;1.1592507362365723;-0.1795649528503418;65.3223876953125;-0.29224157333374023;2.7634501457214355
A5;55.099174499511719;10.447978973388672;-26.193904876708984;72.075294494628906;5.545109748840332;-13.919234275817871
B5;72.163864135742188;-27.328460693359375;60.702426910400391;81.284149169921875;-31.147331237792969;67.690826416015625
C5;54.078132629394531;47.474414825439453;-10.58800220489502;63.967247009277344;43.427883148193359;-9.3202590942382812
D5;30.017730712890625;1.1690258979797363;-2.6809394359588623;40.638393402099609;4.1548309326171875;3.1235992908477783
A6;70.521980285644531;-31.466276168823242;-5.1910758018493652;83.916374206542969;-20.839929580688477;-1.3329386711120605
B6;72.679756164550781;18.126846313476562;75.592353820800781;78.687355041503906;5.6935253143310547;77.465065002441406
C6;50.342170715332031;-16.927867889404297;-34.854137420654297;68.908462524414062;-22.272140502929688;-20.111358642578125
D6;11.823997497558594;1.574978232383728;-1.8060564994812012;13.007770538330078;14.006182670593262;9.2546911239624023
