name;fujichrome-provia-100f-dehancer-colorchecker
description;fitted LUT style from fujichrome-provia-100f-dehancer-colorchecker.pfm
num_gray;8
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
WBP1;80.391204833984375;0.85359811782836914;-0.24598836898803711;82.2833251953125;-15.754193305969238;-4.2316675186157227
WBP2;81.482627868652344;-1.2671351432800293;-1.0032773017883301;83.740631103515625;-19.929319381713867;-4.7195792198181152
WBP3;81.065948486328125;-2.4327635765075684;-2.4770259857177734;83.143775939941406;-21.201015472412109;-6.3936352729797363
WBP4;81.0113525390625;-4.156559944152832;-2.717125415802002;83.283088684082031;-23.599117279052734;-7.0483207702636719
WBP5;81.445533752441406;-6.1086711883544922;-4.333961009979248;83.805976867675781;-27.555137634277344;-9.2802639007568359
WBL1;80.348518371582031;4.6497583389282227;0.51583051681518555;82.101966857910156;-10.583996772766113;-2.6466727256774902
WBL2;80.883621215820312;4.2461452484130859;-0.12524127960205078;82.763511657714844;-11.886894226074219;-3.1232237815856934
WBL3;80.663009643554688;0.858306884765625;-0.28507709503173828;82.572601318359375;-15.867143630981445;-4.2054533958435059
WBL4;80.9986572265625;-1.1971592903137207;-2.6351690292358398;83.265457153320312;-19.715755462646484;-6.5354347229003906
WBL5;80.931396484375;-2.2504925727844238;-5.721282958984375;83.333389282226562;-23.240894317626953;-9.2436313629150391
SAT1;55.609634399414062;51.283241271972656;35.301826477050781;42.536647796630859;40.026844024658203;29.309295654296875
SAT2;73.600090026855469;32.343654632568359;71.352867126464844;64.521835327148438;28.852134704589844;52.032077789306641
SAT3;84.246063232421875;1.2993216514587402;83.626884460449219;79.801063537597656;3.3820271492004395;59.353054046630859
SAT4;64.033164978027344;-53.372859954833984;27.583599090576172;67.766929626464844;-51.580162048339844;17.882299423217773
SAT5;61.596076965332031;-24.702817916870117;-32.839607238769531;65.931259155273438;-29.006898880004883;-25.935829162597656
SAT6;50.9794921875;1.4106333255767822;-52.787708282470703;48.880683898925781;-10.075658798217773;-41.337730407714844
SAT7;52.875740051269531;32.374977111816406;-29.775571823120117;44.513877868652344;16.486913681030273;-22.708236694335938
SAT8;55.598419189453125;51.404655456542969;0.35811662673950195;45.525802612304688;38.039207458496094;5.269920825958252
A1;35.275314331054688;15.050813674926758;18.243927001953125;22.5931396484375;16.795888900756836;13.021731376647949
B1;64.115516662597656;33.913105010986328;67.195030212402344;51.7535400390625;30.230611801147461;48.140590667724609
C1;22.875179290771484;28.49201774597168;-59.287673950195312;14.348247528076172;13.35570240020752;-42.577785491943359
D1;88.613006591796875;0.0012516975402832031;1.0778665542602539;91.422447204589844;-20.858169555664062;-5.1667571067810059
A2;67.174461364746094;17.003208160400391;14.777445793151855;63.515045166015625;13.579994201660156;12.52638053894043
B2;35.484375;21.242559432983398;-55.388134002685547;26.172504425048828;4.6363773345947266;-43.162685394287109
C2;53.287879943847656;-48.703639984130859;33.036815643310547;51.472991943359375;-44.357822418212891;21.153253555297852
D2;79.272712707519531;-0.012308359146118164;0.030219554901123047;81.055770874023438;-15.754043579101562;-3.7906050682067871
A3;46.910423278808594;-3.2338201999664307;-27.388608932495117;39.895999908447266;-14.929085731506348;-24.643075942993164
B3;53.594390869140625;48.253952026367188;23.821651458740234;41.573726654052734;37.960365295410156;21.533180236816406
C3;44.627464294433594;46.225189208984375;36.189876556396484;29.977943420410156;34.305408477783203;27.415578842163086
D3;66.983413696289062;0.00032782554626464844;-0.00030994415283203125;65.94110107421875;-8.4466638565063477;-1.6776561737060547
A4;39.279121398925781;-15.606284141540527;24.874210357666016;28.915878295898438;-7.9937129020690918;15.746313095092773
B4;25.037979125976562;24.265945434570312;-20.264642715454102;14.254901885986328;15.815123558044434;-13.642066955566406
C4;80.626960754394531;0.63443183898925781;80.592781066894531;75.888397216796875;3.5847723484039307;57.114959716796875
D4;48.543144226074219;1.1826157569885254;-0.17734766006469727;40.642906188964844;2.0757169723510742;-1.4838159084320068
A5;55.090644836425781;10.474949836730957;-26.183403015136719;49.185981750488281;-4.220426082611084;-23.054492950439453
B5;72.160285949707031;-27.327447891235352;60.643310546875;70.078483581542969;-26.486904144287109;41.012477874755859
C5;54.083404541015625;47.468990325927734;-10.576332092285156;44.682823181152344;34.401447296142578;-4.364621639251709
D5;30.011837005615234;1.1711269617080688;-2.6845693588256836;18.802074432373047;3.3388881683349609;-2.877044677734375
