name;fujicolor-pro-400h-dehancer-colorchecker
description;fitted LUT style from fujicolor-pro-400h-dehancer-colorchecker.pfm
num_gray;8
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
WBP1;80.394142150878906;0.85365772247314453;-0.24600028991699219;89.346817016601562;-8.6179075241088867;-3.5917401313781738
WBP2;81.477134704589844;-1.2536048889160156;-1.0042667388916016;89.951850891113281;-9.8891258239746094;-4.3940186500549316
WBP3;81.065757751464844;-2.4329125881195068;-2.4773240089416504;89.790000915527344;-11.47925853729248;-5.0087451934814453
WBP4;80.999641418457031;-4.1393938064575195;-2.7143716812133789;89.531471252441406;-12.912363052368164;-5.1414251327514648
WBP5;81.434616088867188;-6.0875711441040039;-4.3484210968017578;90.060989379882812;-14.307707786560059;-7.3729157447814941
WBL1;80.355995178222656;4.6431121826171875;0.49091577529907227;89.013595581054688;-4.7287044525146484;-3.3655405044555664
WBL2;80.890151977539062;4.2271614074707031;-0.092935562133789062;89.539939880371094;-5.0879421234130859;-3.6041855812072754
WBL3;80.662437438964844;0.85520744323730469;-0.27682781219482422;89.623313903808594;-8.6765880584716797;-3.6128997802734375
WBL4;80.999763488769531;-1.1957883834838867;-2.6356697082519531;89.781898498535156;-10.034858703613281;-5.1149368286132812
WBL5;80.921913146972656;-2.2340714931488037;-5.7304143905639648;89.717109680175781;-11.299551010131836;-8.6262340545654297
SAT1;55.601211547851562;51.338165283203125;35.313243865966797;57.943687438964844;46.467216491699219;30.511676788330078
SAT2;73.601387023925781;32.281578063964844;71.383354187011719;76.151901245117188;27.342914581298828;66.132606506347656
SAT3;84.230545043945312;1.3860464096069336;83.608200073242188;85.500755310058594;0.52779912948608398;80.332969665527344
SAT4;64.014137268066406;-53.357810974121094;27.573442459106445;66.840065002441406;-48.259109497070312;31.479310989379883
SAT5;61.597854614257812;-24.698703765869141;-32.845962524414062;69.989456176757812;-26.782899856567383;-32.839691162109375
SAT6;50.979248046875;1.4534890651702881;-52.854572296142578;57.908897399902344;-4.5202970504760742;-54.860271453857422
SAT7;52.87652587890625;32.314567565917969;-29.926740646362305;59.041282653808594;22.625267028808594;-34.407974243164062
SAT8;55.594772338867188;51.357627868652344;0.34782886505126953;60.361587524414062;42.416751861572266;-5.977928638458252
A1;35.263935089111328;14.85861873626709;18.237495422363281;31.342811584472656;12.408748626708984;19.2357177734375
B1;64.120498657226562;34.015327453613281;67.190261840820312;66.135986328125;31.058221817016602;64.313529968261719
C1;22.889366149902344;28.559879302978516;-59.374732971191406;21.699295043945312;23.604377746582031;-60.609764099121094
D1;88.619964599609375;0.0062584877014160156;1.0796427726745605;96.248863220214844;-10.089546203613281;-2.4186491966247559
A2;67.165351867675781;16.98997688293457;14.74769115447998;74.725204467773438;10.245412826538086;11.232471466064453
B2;35.478382110595703;21.328523635864258;-55.497509002685547;36.836151123046875;15.008598327636719;-58.558147430419922
C2;53.285476684570312;-48.697189331054688;33.01055908203125;52.745307922363281;-44.101654052734375;38.502704620361328
D2;79.279228210449219;-0.012338161468505859;0.029861927032470703;88.05706787109375;-9.0132350921630859;-2.5845527648925781
A3;46.901386260986328;-3.2028555870056152;-27.464771270751953;50.311927795410156;-7.4422955513000488;-28.378009796142578
B3;53.597381591796875;48.245399475097656;23.872344970703125;56.366752624511719;42.517810821533203;19.685077667236328
C3;44.626468658447266;46.243011474609375;36.188083648681641;43.651664733886719;44.371158599853516;34.397842407226562
D3;66.989471435546875;0.0018775463104248047;-0.000762939453125;75.220863342285156;-6.4010024070739746;-2.2201895713806152
A4;39.274913787841797;-15.590533256530762;24.853706359863281;36.037315368652344;-16.866504669189453;28.773666381835938
B4;25.037979125976562;24.265945434570312;-20.264642715454102;19.724880218505859;19.813388824462891;-22.835624694824219
C4;80.631462097167969;0.63303112983703613;80.595993041992188;82.569770812988281;-0.25779008865356445;78.161087036132812
D4;48.549530029296875;1.1723339557647705;-0.1744389533996582;51.058090209960938;-2.7234852313995361;-0.7847905158996582
A5;55.090644836425781;10.474949836730957;-26.183403015136719;61.880348205566406;3.0171573162078857;-28.947019577026367
B5;72.160285949707031;-27.327447891235352;60.643310546875;74.331199645996094;-25.543689727783203;62.64935302734375
C5;54.083404541015625;47.468990325927734;-10.576332092285156;59.13519287109375;38.368640899658203;-17.544342041015625
D5;30.015598297119141;1.1690706014633179;-2.6809632778167725;24.976863861083984;-1.707911491394043;-2.4257957935333252
A6;70.500419616699219;-31.433612823486328;-5.2405476570129395;78.197525024414062;-33.624320983886719;-5.0619840621948242
B6;72.679115295410156;18.156021118164062;75.600196838378906;75.048316955566406;16.75090217590332;73.011222839355469
C6;50.356025695800781;-16.936481475830078;-34.851860046386719;55.699745178222656;-18.648654937744141;-34.942054748535156
D6;11.824350357055664;1.5806033611297607;-1.8259614706039429;3.0718879699707031;-0.96538662910461426;-1.9445478916168213
NEU1;11.276639938354492;1.5661492347717285;-1.7465770244598389;2.4245185852050781;-0.83047151565551758;-1.7351835966110229
NEU2;13.772880554199219;1.8058270215988159;-3.012692928314209;5.0638675689697266;-0.75263530015945435;-3.361046314239502
NEU3;17.699062347412109;1.1061429977416992;-2.6091516017913818;9.8504009246826172;-1.7661154270172119;-2.4398624897003174
NEU4;20.86163330078125;0.35268068313598633;-1.2706935405731201;13.366096496582031;-1.7068610191345215;-1.3170957565307617
NEU5;74.797683715820312;0.062912702560424805;-0.018179416656494141;83.425132751464844;-7.1741938591003418;-3.0283451080322266
NEU6;80.610427856445312;0.00041723251342773438;-0.00035762786865234375;89.392951965332031;-9.0160369873046875;-2.5740623474121094
NEU7;85.846176147460938;0.00044703483581542969;-0.0003814697265625;93.835525512695312;-9.7681283950805664;-2.960669994354248
NEU8;90.176055908203125;0.082761049270629883;1.1139512062072754;97.6937255859375;-10.281711578369141;-2.4981260299682617
